inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
jedit-3.2.csv auc,0.7621870882740448,0.7621870882740448,0.769433465085639,0.7621870882740448,0.7621870882740448,0.7542819499341239,0.7621870882740448,0.7621870882740448,0.7621870882740448,0.7621870882740448,0.7542819499341239,0.7621870882740448,0.7621212121212121,0.7621870882740448,0.7621870882740448,0.769433465085639,0.0033905426172484206
jedit-3.2.csv auc,0.7908902691511387,0.7947722567287784,0.8126293995859213,0.7730331262939959,0.7875258799171843,0.7657867494824017,0.8053830227743272,0.8126293995859213,0.8053830227743272,0.7802795031055899,0.7657867494824017,0.7839026915113871,0.7928312629399585,0.7928312629399585,0.8053830227743272,0.8126293995859213,0.015542285480991635
jedit-3.2.csv auc,0.7285012285012286,0.683046683046683,0.7285012285012286,0.6914414414414415,0.6762899262899262,0.6762899262899262,0.6846846846846846,0.7285012285012286,0.7285012285012286,0.6762899262899262,0.6762899262899262,0.6796683046683046,0.7002047502047501,0.6880630630630631,0.7285012285012286,0.7285012285012286,0.023517198871022774
jedit-3.2.csv auc,0.8652173913043478,0.8579710144927537,0.8652173913043478,0.8579710144927537,0.8652173913043478,0.8579710144927537,0.8579710144927537,0.8318840579710145,0.8652173913043478,0.8724637681159422,0.8318840579710145,0.8579710144927537,0.8597101449275364,0.8615942028985508,0.8652173913043478,0.8724637681159422,0.010345836694246241
jedit-3.2.csv auc,0.7899786780383796,0.8042643923240939,0.8117270788912581,0.7825159914712154,0.7899786780383796,0.7899786780383796,0.7899786780383796,0.7825159914712154,0.7899786780383796,0.7899786780383796,0.7825159914712154,0.7899786780383796,0.7920895522388062,0.7899786780383796,0.7899786780383796,0.8117270788912581,0.008624964086938277
jedit-3.2.csv auc,0.7466358284272498,0.729394449116905,0.729394449116905,0.7415895710681244,0.729394449116905,0.7415895710681244,0.729394449116905,0.7171993271656856,0.729394449116905,0.729394449116905,0.7171993271656856,0.729394449116905,0.7323380992430614,0.729394449116905,0.7354920100925146,0.7466358284272498,0.008104180390923692
jedit-3.2.csv auc,0.773539668700959,0.773539668700959,0.7951176983435048,0.7600261551874455,0.7816041848299913,0.773539668700959,0.7816041848299913,0.7519616390584133,0.7654751525719268,0.773539668700959,0.7519616390584133,0.7695074106364429,0.772994768962511,0.773539668700959,0.7775719267654752,0.7951176983435048,0.011427938912707455
jedit-3.2.csv auc,0.6174990321331785,0.6656987998451412,0.6656987998451412,0.6418892760356174,0.637630662020906,0.6333720480061944,0.6535036778939218,0.6174990321331785,0.6455671699574139,0.6333720480061944,0.6174990321331785,0.6333720480061944,0.6411730545876887,0.6397599690282617,0.6495354239256679,0.6656987998451412,0.016217485889778355
jedit-3.2.csv auc,0.7488822652757079,0.7570789865871833,0.7406855439642324,0.7488822652757079,0.7488822652757079,0.7419274714356682,0.7255340288127172,0.7337307501241928,0.7103825136612021,0.7337307501241928,0.7103825136612021,0.7337307501241928,0.7389716840536512,0.7413065076999503,0.7488822652757079,0.7570789865871833,0.012988661514440898
jedit-3.2.csv auc,0.875,0.875,0.875,0.875,0.875,0.8671875,0.875,0.875,0.8671875,0.875,0.8671875,0.875,0.8734375,0.875,0.875,0.875,0.003125
ivy-2.0.csv auc,0.6811824539097266,0.6729179910998092,0.7113795295613476,0.6811824539097266,0.6811824539097266,0.6811824539097266,0.6811824539097266,0.6811824539097266,0.7113795295613476,0.6811824539097266,0.6729179910998092,0.6811824539097266,0.6863954227590591,0.6811824539097266,0.6811824539097266,0.7113795295613476,0.012729012762641283
ivy-2.0.csv auc,0.5274831243972999,0.5527965284474446,0.5568948891031823,0.5568948891031823,0.5568948891031823,0.5568948891031823,0.5568948891031823,0.5568948891031823,0.5233847637415623,0.5233847637415623,0.5233847637415623,0.5401398264223722,0.5468418514946963,0.5568948891031823,0.5568948891031823,0.5568948891031823,0.014550154002983349
ivy-2.0.csv auc,0.7026666666666667,0.7026666666666667,0.6986666666666667,0.7026666666666667,0.7026666666666667,0.7026666666666667,0.7026666666666667,0.7026666666666667,0.7026666666666667,0.7026666666666667,0.6986666666666667,0.7026666666666667,0.7022666666666666,0.7026666666666667,0.7026666666666667,0.7026666666666667,0.0012000000000000012
ivy-2.0.csv auc,0.611904761904762,0.611904761904762,0.611904761904762,0.6160714285714286,0.6160714285714286,0.611904761904762,0.611904761904762,0.611904761904762,0.611904761904762,0.611904761904762,0.611904761904762,0.611904761904762,0.6127380952380953,0.611904761904762,0.611904761904762,0.6160714285714286,0.001666666666666661
ivy-2.0.csv auc,0.7361647361647361,0.7361647361647361,0.7406692406692407,0.7406692406692407,0.7361647361647361,0.7361647361647361,0.7004504504504504,0.7361647361647361,0.7361647361647361,0.7361647361647361,0.7004504504504504,0.7361647361647361,0.7334942084942084,0.7361647361647361,0.7361647361647361,0.7406692406692407,0.011156944677434305
ivy-2.0.csv auc,0.7759562841530054,0.7759562841530054,0.7759562841530054,0.8633879781420766,0.7759562841530054,0.7759562841530054,0.8633879781420766,0.7759562841530054,0.7800546448087431,0.7759562841530054,0.7759562841530054,0.7759562841530054,0.7938524590163935,0.7759562841530054,0.7780054644808743,0.8633879781420766,0.03478888908869045
ivy-2.0.csv auc,0.7775689223057644,0.7775689223057644,0.8132832080200502,0.7418546365914787,0.8132832080200502,0.8132832080200502,0.7775689223057644,0.8132832080200502,0.7775689223057644,0.8132832080200502,0.7418546365914787,0.7775689223057644,0.7918546365914787,0.7954260651629073,0.8132832080200502,0.8132832080200502,0.02369017707396718
ivy-2.0.csv auc,0.6775793650793651,0.6775793650793651,0.6731150793650794,0.6775793650793651,0.6775793650793651,0.6775793650793651,0.6731150793650794,0.6775793650793651,0.6775793650793651,0.6775793650793651,0.6731150793650794,0.6775793650793651,0.6766865079365081,0.6775793650793651,0.6775793650793651,0.6775793650793651,0.0017857142857142794
ivy-2.0.csv auc,0.6514227642276423,0.6636178861788617,0.6595528455284554,0.6178861788617885,0.6595528455284554,0.6595528455284554,0.6554878048780488,0.6595528455284554,0.6554878048780488,0.6554878048780488,0.6178861788617885,0.6554878048780488,0.653760162601626,0.6575203252032521,0.6595528455284554,0.6636178861788617,0.01238045152697989
ivy-2.0.csv auc,0.5956112852664578,0.5956112852664578,0.6453761755485894,0.5956112852664578,0.5956112852664578,0.5956112852664578,0.6496865203761756,0.5956112852664578,0.5956112852664578,0.6496865203761756,0.5956112852664578,0.5956112852664578,0.6114028213166145,0.5956112852664578,0.6204937304075235,0.6496865203761756,0.024147629906268474
jedit-4.0.csv auc,0.7993827160493828,0.8117283950617284,0.7993827160493828,0.7993827160493828,0.7993827160493828,0.7993827160493828,0.79320987654321,0.7993827160493828,0.7993827160493828,0.7993827160493828,0.79320987654321,0.7993827160493828,0.8,0.7993827160493828,0.7993827160493828,0.8117283950617284,0.004320987654320977
jedit-4.0.csv auc,0.6735190097259063,0.6677718832891246,0.6677718832891246,0.6735190097259063,0.6735190097259063,0.6735190097259063,0.6677718832891246,0.6677718832891246,0.6677718832891246,0.6735190097259063,0.6677718832891246,0.6677718832891246,0.6706454465075155,0.6706454465075155,0.6735190097259063,0.6735190097259063,0.002873563218390829
jedit-4.0.csv auc,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.7286079182630907,0.0
jedit-4.0.csv auc,0.7085714285714286,0.7123809523809524,0.6826190476190477,0.6945238095238095,0.7004761904761905,0.6945238095238095,0.7323809523809524,0.6885714285714286,0.7004761904761905,0.6945238095238095,0.6826190476190477,0.6945238095238095,0.7009047619047619,0.6975,0.7045238095238096,0.7323809523809524,0.013379935565501096
jedit-4.0.csv auc,0.7095652173913044,0.7041304347826087,0.7095652173913044,0.6841304347826087,0.7150000000000001,0.7204347826086958,0.7095652173913044,0.7041304347826087,0.6895652173913044,0.7041304347826087,0.6841304347826087,0.7041304347826087,0.7050217391304349,0.7068478260869566,0.7095652173913044,0.7204347826086958,0.010376854606825296
jedit-4.0.csv auc,0.6732142857142858,0.6669642857142857,0.6732142857142858,0.6732142857142858,0.6732142857142858,0.6732142857142858,0.6669642857142857,0.6794642857142857,0.6794642857142857,0.6794642857142857,0.6669642857142857,0.6732142857142858,0.6738392857142858,0.6732142857142858,0.6763392857142858,0.6794642857142857,0.0043750000000000195
jedit-4.0.csv auc,0.7119565217391305,0.733695652173913,0.7282608695652174,0.733695652173913,0.7391304347826086,0.733695652173913,0.7119565217391305,0.717391304347826,0.733695652173913,0.717391304347826,0.7119565217391305,0.717391304347826,0.7260869565217392,0.7309782608695652,0.733695652173913,0.7391304347826086,0.009782608695652137
jedit-4.0.csv auc,0.7120879120879121,0.7120879120879121,0.7265934065934067,0.7265934065934067,0.7120879120879121,0.7065934065934066,0.7265934065934067,0.7065934065934066,0.7065934065934066,0.7265934065934067,0.7065934065934066,0.7093406593406594,0.7162417582417582,0.7120879120879121,0.7265934065934067,0.7265934065934067,0.0087158584005533
