inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
jedit-3.2.csv pf,0.2028985507246377,0.2028985507246377,0.18840579710144928,0.2028985507246377,0.2028985507246377,0.18840579710144928,0.2028985507246377,0.2028985507246377,0.2028985507246377,0.2028985507246377,0.18840579710144928,0.2028985507246377,0.2,0.2028985507246377,0.2028985507246377,0.2028985507246377,0.005797101449275366
jedit-3.2.csv pf,0.2753623188405797,0.2318840579710145,0.2318840579710145,0.2753623188405797,0.2463768115942029,0.2898550724637681,0.2463768115942029,0.2318840579710145,0.2463768115942029,0.2608695652173913,0.2318840579710145,0.2391304347826087,0.2536231884057971,0.2463768115942029,0.2681159420289855,0.2898550724637681,0.019712276099616583
jedit-3.2.csv pf,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.28378378378378377,0.2702702702702703,0.2702702702702703,0.27837837837837837,0.27702702702702703,0.28378378378378377,0.2972972972972973,0.008963850784744319
jedit-3.2.csv pf,0.2028985507246377,0.21739130434782608,0.2028985507246377,0.21739130434782608,0.2028985507246377,0.21739130434782608,0.21739130434782608,0.2028985507246377,0.2028985507246377,0.18840579710144928,0.18840579710144928,0.2028985507246377,0.2072463768115942,0.2028985507246377,0.21739130434782608,0.21739130434782608,0.009279890199178036
jedit-3.2.csv pf,0.13432835820895522,0.13432835820895522,0.11940298507462686,0.14925373134328357,0.13432835820895522,0.13432835820895522,0.13432835820895522,0.14925373134328357,0.13432835820895522,0.13432835820895522,0.11940298507462686,0.13432835820895522,0.13582089552238805,0.13432835820895522,0.13432835820895522,0.14925373134328357,0.008037559413633584
jedit-3.2.csv pf,0.1896551724137931,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.1896551724137931,0.22413793103448276,0.2206896551724138,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.0103448275862069
jedit-3.2.csv pf,0.20967741935483872,0.20967741935483872,0.1935483870967742,0.20967741935483872,0.1935483870967742,0.20967741935483872,0.1935483870967742,0.22580645161290322,0.22580645161290322,0.20967741935483872,0.1935483870967742,0.20161290322580644,0.20806451612903226,0.20967741935483872,0.20967741935483872,0.22580645161290322,0.011290322580645162
jedit-3.2.csv pf,0.30158730158730157,0.25396825396825395,0.25396825396825395,0.30158730158730157,0.2857142857142857,0.2698412698412698,0.25396825396825395,0.30158730158730157,0.2698412698412698,0.2698412698412698,0.25396825396825395,0.26190476190476186,0.2761904761904762,0.2698412698412698,0.2936507936507936,0.30158730158730157,0.01904761904761905
jedit-3.2.csv pf,0.22950819672131148,0.21311475409836064,0.2459016393442623,0.22950819672131148,0.22950819672131148,0.21311475409836064,0.2459016393442623,0.22950819672131148,0.2459016393442623,0.22950819672131148,0.21311475409836064,0.22950819672131148,0.23114754098360651,0.22950819672131148,0.23770491803278687,0.2459016393442623,0.011475409836065575
jedit-3.2.csv pf,0.125,0.125,0.125,0.125,0.125,0.140625,0.125,0.125,0.140625,0.125,0.125,0.125,0.128125,0.125,0.125,0.140625,0.0062499999999999995
