inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
jedit-3.2.csv recall,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.696969696969697,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.696969696969697,0.7272727272727273,0.7242424242424244,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.009090909090909084
jedit-3.2.csv recall,0.8571428571428571,0.8214285714285714,0.8571428571428571,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8392857142857142,0.8392857142857142,0.8571428571428571,0.8571428571428571,0.01785714285714285
jedit-3.2.csv recall,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6787878787878789,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.041105030200759216
jedit-3.2.csv recall,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9266666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.019999999999999997
jedit-3.2.csv recall,0.7142857142857143,0.7428571428571429,0.7428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7200000000000001,0.7142857142857143,0.7142857142857143,0.7428571428571429,0.011428571428571432
jedit-3.2.csv recall,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.7073170731707317,0.6829268292682927,0.7073170731707317,0.6829268292682927,0.6585365853658537,0.6829268292682927,0.6829268292682927,0.6585365853658537,0.6829268292682927,0.6853658536585365,0.6829268292682927,0.6829268292682927,0.7073170731707317,0.01313454831008413
jedit-3.2.csv recall,0.7567567567567568,0.7567567567567568,0.7837837837837838,0.7297297297297297,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7297297297297297,0.7567567567567568,0.7567567567567568,0.7297297297297297,0.7567567567567568,0.7540540540540541,0.7567567567567568,0.7567567567567568,0.7837837837837838,0.01455449947874191
jedit-3.2.csv recall,0.5365853658536586,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.5609756097560976,0.5365853658536586,0.5609756097560976,0.5365853658536586,0.5609756097560976,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.5585365853658537,0.5609756097560976,0.5731707317073171,0.5853658536585366,0.020260058202239178
jedit-3.2.csv recall,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.696969696969697,0.696969696969697,0.696969696969697,0.6666666666666666,0.696969696969697,0.6666666666666666,0.696969696969697,0.7090909090909092,0.7121212121212122,0.7272727272727273,0.7272727272727273,0.020100756305184247
jedit-3.2.csv recall,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.0
ivy-2.0.csv recall,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.4769230769230769,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.030769230769230747
ivy-2.0.csv recall,0.23529411764705882,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.2647058823529412,0.27647058823529413,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.0269563276173873
ivy-2.0.csv recall,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0
ivy-2.0.csv recall,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.0
ivy-2.0.csv recall,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5642857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.02142857142857142
ivy-2.0.csv recall,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.0666666666666667
ivy-2.0.csv recall,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.6714285714285715,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.04738035414793428
ivy-2.0.csv recall,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444445,0.4444444444444444,0.4444444444444444,0.4444444444444444,5.551115123125783e-17
ivy-2.0.csv recall,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4083333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.025000000000000012
ivy-2.0.csv recall,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.39090909090909093,0.36363636363636365,0.40909090909090906,0.45454545454545453,0.04165977904505308
jedit-4.0.csv recall,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
jedit-4.0.csv recall,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.0
jedit-4.0.csv recall,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.0
jedit-4.0.csv recall,0.56,0.52,0.52,0.52,0.52,0.52,0.56,0.52,0.52,0.52,0.52,0.52,0.5279999999999999,0.52,0.52,0.56,0.016000000000000014
jedit-4.0.csv recall,0.68,0.68,0.68,0.64,0.68,0.68,0.68,0.68,0.64,0.68,0.64,0.68,0.6719999999999999,0.68,0.68,0.68,0.016000000000000014
jedit-4.0.csv recall,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0
jedit-4.0.csv recall,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7217391304347827,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.02129991080681023
jedit-4.0.csv recall,0.6,0.6,0.64,0.64,0.6,0.6,0.64,0.6,0.6,0.64,0.6,0.6,0.6159999999999999,0.6,0.64,0.64,0.01959591794226544
jedit-4.0.csv recall,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5151515151515151,0.48484848484848486,0.5454545454545454,0.48484848484848486,0.5454545454545454,0.5151515151515151,0.5454545454545454,0.48484848484848486,0.5151515151515151,0.5272727272727271,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.02424242424242422
jedit-4.0.csv recall,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.0
jedit-4.1.csv recall,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5875,0.5833333333333334,0.5833333333333334,0.625,0.01249999999999999
jedit-4.1.csv recall,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.0
jedit-4.1.csv recall,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.0
jedit-4.1.csv recall,0.6296296296296297,0.6296296296296297,0.5925925925925926,0.5925925925925926,0.5555555555555556,0.5925925925925926,0.6666666666666666,0.6666666666666666,0.5925925925925926,0.6296296296296297,0.5555555555555556,0.5925925925925926,0.6148148148148148,0.6111111111111112,0.6296296296296297,0.6666666666666666,0.033945005147821034
jedit-4.1.csv recall,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
jedit-4.1.csv recall,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.7307692307692307,0.6923076923076923,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.7307692307692307,0.723076923076923,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.015384615384615373
jedit-4.1.csv recall,0.625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.625,0.625,0.65625,0.65,0.65625,0.65625,0.65625,0.012499999999999999
jedit-4.1.csv recall,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5517241379310345,0.5862068965517241,0.5862068965517241,0.5517241379310345,0.5862068965517241,0.5827586206896551,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.010344827586206883
jedit-4.1.csv recall,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.0
jedit-4.1.csv recall,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.0
ant-1.7.csv recall,0.6153846153846154,0.6307692307692307,0.6,0.6461538461538462,0.6461538461538462,0.6307692307692307,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6,0.6153846153846154,0.623076923076923,0.6153846153846154,0.6307692307692307,0.6461538461538462,0.014183914549681369
ant-1.7.csv recall,0.5737704918032787,0.5737704918032787,0.5901639344262295,0.5901639344262295,0.5737704918032787,0.5901639344262295,0.6229508196721312,0.5901639344262295,0.5901639344262295,0.6065573770491803,0.5737704918032787,0.5819672131147541,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.6229508196721312,0.01466274083606421
ant-1.7.csv recall,0.6557377049180327,0.6557377049180327,0.7049180327868853,0.6557377049180327,0.7049180327868853,0.6557377049180327,0.6557377049180327,0.6885245901639344,0.6557377049180327,0.6721311475409836,0.6557377049180327,0.6557377049180327,0.6704918032786884,0.6557377049180327,0.680327868852459,0.7049180327868853,0.02001074691103888
ant-1.7.csv recall,0.7,0.7166666666666667,0.7,0.7,0.7166666666666667,0.7166666666666667,0.7,0.7,0.7166666666666667,0.7,0.7,0.7,0.7066666666666667,0.7,0.7166666666666667,0.7166666666666667,0.008164965809277286
ant-1.7.csv recall,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.625,0.6071428571428571,0.6428571428571429,0.6071428571428571,0.625,0.5892857142857143,0.5892857142857143,0.6071428571428571,0.6125,0.6071428571428571,0.6160714285714286,0.6428571428571429,0.013946874421261902
ant-1.7.csv recall,0.6268656716417911,0.6417910447761194,0.6268656716417911,0.6268656716417911,0.6119402985074627,0.6268656716417911,0.5970149253731343,0.6417910447761194,0.6268656716417911,0.6119402985074627,0.5970149253731343,0.6194029850746269,0.6238805970149255,0.6268656716417911,0.6268656716417911,0.6417910447761194,0.013011638637434852
ant-1.7.csv recall,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.0
ant-1.7.csv recall,0.6229508196721312,0.6065573770491803,0.5901639344262295,0.6065573770491803,0.5901639344262295,0.6229508196721312,0.6065573770491803,0.5901639344262295,0.6229508196721312,0.6065573770491803,0.5901639344262295,0.5983606557377049,0.6065573770491804,0.6065573770491803,0.6147540983606558,0.6229508196721312,0.012698306053139085
ant-1.7.csv recall,0.7017543859649122,0.7017543859649122,0.7192982456140351,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.6842105263157895,0.7192982456140351,0.6842105263157895,0.7017543859649122,0.7035087719298245,0.7017543859649122,0.7017543859649122,0.7192982456140351,0.009447657556376329
ant-1.7.csv recall,0.6615384615384615,0.6307692307692307,0.676923076923077,0.676923076923077,0.6615384615384615,0.6307692307692307,0.6615384615384615,0.676923076923077,0.6461538461538462,0.6615384615384615,0.6307692307692307,0.6538461538461539,0.6584615384615385,0.6615384615384615,0.6692307692307693,0.676923076923077,0.016569737868106182
camel-1.6.csv recall,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.6716417910447762,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.6582089552238806,0.6567164179104478,0.6567164179104478,0.6716417910447762,0.00447761194029852
camel-1.6.csv recall,0.5833333333333334,0.6111111111111112,0.5972222222222222,0.5833333333333334,0.5694444444444444,0.5833333333333334,0.5555555555555556,0.5972222222222222,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.5833333333333334,0.5847222222222221,0.5833333333333334,0.5902777777777778,0.6111111111111112,0.014500425706820213
camel-1.6.csv recall,0.618421052631579,0.5921052631578947,0.6052631578947368,0.618421052631579,0.631578947368421,0.618421052631579,0.6447368421052632,0.618421052631579,0.6052631578947368,0.5921052631578947,0.5921052631578947,0.6052631578947368,0.6144736842105264,0.618421052631579,0.618421052631579,0.6447368421052632,0.015624134325049905
camel-1.6.csv recall,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.6176470588235294,0.6029411764705882,0.6029411764705882,0.5882352941176471,0.6029411764705882,0.6176470588235294,0.5882352941176471,0.6029411764705882,0.6044117647058824,0.6029411764705882,0.6029411764705882,0.6176470588235294,0.007919360010491927
